ORG_CODE,ORG_TYPE
IITB,organization
IITB,satellite manufacturer
IITK,organization
IITK,satellite manufacturer
IITM,school
IITMC,organization
IITMC,satellite manufacturer
IK,organization
IKI,organization
IKI,satellite manufacturer
IKI,school
IL,country
ILC,school
ILS,launch agency
ILSK,launch agency
ILSKR,launch agency
ILSL,launch agency
IMAGT,organization
IMBP,organization
IMDP,school
IMICAS,organization
IMICAS,satellite manufacturer
IMIS,engine/motor manufacturer
IN,country
INAVC,organization
INCO,launch agency
INCOT,launch agency
INDO,organization
INDOS,organization
INETI,organization
INFER,organization
INFER,satellite manufacturer
INFK,organization
INFOC,organization
INFOC,satellite manufacturer
INMAR,organization
INMRL,organization
INPE,launch agency
INPE,launch vehicle manufacturer
INPE,organization
INPE,satellite manufacturer
INPE,school
INPES,organization
INPES,satellite manufacturer
INSSET,satellite manufacturer
INTA,engine/motor manufacturer
INTA,launch agency
INTA,launch vehicle manufacturer
INTA,organization
INTA,satellite manufacturer
INTA,school
INTEL,organization
INTELB,organization
INTELS,organization
INTELU,organization
INVAP,satellite manufacturer
IOS,satellite manufacturer
IPSF,satellite manufacturer
IQ,country
IQ,engine/motor manufacturer
IQ223,launch agency
IQ224,launch agency
IQA,launch agency
IQMIC,launch agency
IQMIC,launch vehicle manufacturer
IQMOST,organization
IR,country
IR,engine/motor manufacturer
IRF,organization
IRF,satellite manufacturer
IRF,school
IRID,organization
IRIDS,organization
IROST,organization
IRSA,launch agency
IRSA,organization
IRSA,satellite manufacturer
IRSA,school
IRSS,school
IS,country
ISA,launch agency
ISA,organization
ISAC,satellite manufacturer
ISAE,satellite manufacturer
ISAEV,engine/motor manufacturer
ISAS,engine/motor manufacturer
ISAS,launch agency
ISAS,launch vehicle manufacturer
ISAS,organization
ISAS,satellite manufacturer
ISAS,school
ISASJ,organization
ISASJ,satellite manufacturer
ISASM,organization
ISASM,satellite manufacturer
ISASS,organization
ISASS,satellite manufacturer
ISFC,launch agency
ISISBV,organization
ISISBV,satellite manufacturer
ISKRM,engine/motor manufacturer
ISKRP,engine/motor manufacturer
ISPUT,organization
ISRO,engine/motor manufacturer
ISRO,launch agency
ISRO,launch vehicle manufacturer
ISRO,organization
ISRO,satellite manufacturer
ISRO,school
IST,launch vehicle manufacturer
ISTPK,organization
ISTPK,satellite manufacturer
ITA,satellite manufacturer
ITBW,organization
ITCR,organization
ITRC,organization
ITT,satellite manufacturer
ITUTR,organization
ITUTR,satellite manufacturer
IUST,satellite manufacturer
IZM,launch agency
IZM,organization
IZM,school
J,country
JARL,organization
JARL,satellite manufacturer
JAXA,engine/motor manufacturer
JAXA,launch agency
JAXA,launch vehicle manufacturer
JAXA,organization
JAXA,satellite manufacturer
JAXA,school
JAXAC,engine/motor manufacturer
JAXAC,launch agency
JAXAC,launch vehicle manufacturer
JAXAC,organization
JAXAC,satellite manufacturer
JBO,school
JCAB,organization
JCSAT,organization
JDA,launch agency
JENA,satellite manufacturer
JENAA,satellite manufacturer
JHU,school
JMA,launch agency
JMA,organization
JMA,school
JMSDF,launch agency
JO,country
JPL,engine/motor manufacturer
JPL,launch agency
JPL,launch vehicle manufacturer
JPL,organization
JPL,satellite manufacturer
JPL,school
JRG,engine/motor manufacturer
JRG,launch agency
JRG,launch vehicle manufacturer
JSAT,organization
JSC,organization
JSC,satellite manufacturer
JSC,school
JSDO,launch agency
JTF7,launch agency
JUNK,satellite manufacturer
JUST,organization
KACST,organization
KACST,satellite manufacturer
KAGA,organization
KAGA,satellite manufacturer
KAGO,organization
KAGO,satellite manufacturer
KAI,satellite manufacturer
KAIFW,satellite manufacturer
KAIK,organization
KAIK,satellite manufacturer
KAISR,satellite manufacturer
KAIST,organization
KAIST,satellite manufacturer
KAIT,school
KARI,engine/motor manufacturer
KARI,launch agency
KARI,launch vehicle manufacturer
KARI,organization
KARI,satellite manufacturer
KARI,school
KASH,organization
KAWA,satellite manufacturer
KAZK,organization
KAZNU,satellite manufacturer
KAZOKB,engine/motor manufacturer
KAZSOY,engine/motor manufacturer
KB1,organization
KB1,satellite manufacturer
KBEM,engine/motor manufacturer
KBEME,engine/motor manufacturer
KBKHA,engine/motor manufacturer
KBM,engine/motor manufacturer
KBM,launch vehicle manufacturer
KBPT,engine/motor manufacturer
KBPT,launch vehicle manufacturer
KBSAL,satellite manufacturer
KCHT,organization
KE,country
KEPLER,organization
KEPWU,satellite manufacturer
KGI,school
KGO,school
KH,country
KHMM,engine/motor manufacturer
KHRO,launch agency
KHRO,launch vehicle manufacturer
KHRO,satellite manufacturer
KHRR,launch agency
KHRR,launch vehicle manufacturer
KHRR,organization
KHRR,satellite manufacturer
KHRS,launch agency
KHRS,launch vehicle manufacturer
KHRS,satellite manufacturer
KHRU,launch agency
KHRU,launch vehicle manufacturer
KHRU,organization
KHRU,satellite manufacturer
KHRU,school
KHUS,organization
KHUS,satellite manufacturer
KI,country
KIEL,school
KLIMOV,engine/motor manufacturer
KMARQ,engine/motor manufacturer
KMIT,satellite manufacturer
KMUTNB,satellite manufacturer
KOBE,school
KOBN,school
KOKT,engine/motor manufacturer
KOLN,school
KOMET,satellite manufacturer
KORS,country
KORSA,country
KOSMT,satellite manufacturer
KOUKO,organization
KOUKO,satellite manufacturer
KP,country
KPA,engine/motor manufacturer
KPA,launch agency
KPA,launch vehicle manufacturer
KPAMJ,engine/motor manufacturer
KPAMJ,launch agency
KPAMJ,launch vehicle manufacturer
KPI,organization
KPI,satellite manufacturer
KPNO,launch agency
KPNO,school
KR,country
KRAS,engine/motor manufacturer
KRAT,launch vehicle manufacturer
KRLP,launch agency
KRLP,launch vehicle manufacturer
KS,organization
KSC,launch agency
KSC,launch site
KSC,school
KTEL,organization
KTH,school
KTHR,satellite manufacturer
KTRAS,launch agency
KTRAS,organization
KTU,organization
KTU,satellite manufacturer
KUBOS,organization
KUZ,engine/motor manufacturer
KVR,launch agency
KVR,organization
KYO,school
KYSP,launch agency
KYSP,organization
KYSP,satellite manufacturer
KYSP,school
KYUD,organization
KYUD,satellite manufacturer
KYUT,organization
KYUT,satellite manufacturer
KZ,country
L,country
LA,country
LAMBDA,organization
LAMBDA,satellite manufacturer
LAND,organization
LANL,organization
LANL,satellite manufacturer
LANL,school
LAPAN,engine/motor manufacturer
LAPAN,launch agency
LAPAN,launch vehicle manufacturer
LAPAN,organization
LAPAN,satellite manufacturer
LAPAN,school
LARC,engine/motor manufacturer
LARC,launch agency
LARC,launch vehicle manufacturer
LARC,school
LARCN,launch agency
LARCN,organization
LARCN,satellite manufacturer
LARCN,school
LARCNE,school
LAS,school
LASL,launch agency
LASL,satellite manufacturer
LASL,school
LATMOS,satellite manufacturer
LB,country
LCT,satellite manufacturer
LEEDS,school
LEID,school
LEOSTL,satellite manufacturer
LERC,launch agency
LERC,organization
LERC,satellite manufacturer
LERC,school
LGAR,satellite manufacturer
LIEGE,school
LINAO,meteorological
LINAO,school
LINK,satellite manufacturer
LK,country
LKA,organization
LKA,satellite manufacturer
LLL,launch agency
LLL,launch vehicle manufacturer
LLNL,launch vehicle manufacturer
LLNL,organization
LLNL,satellite manufacturer
LLNL,school
LM,launch agency
LM,satellite manufacturer
LMA,launch agency
LMA,launch vehicle manufacturer
LMA,satellite manufacturer
LMCAM,launch vehicle manufacturer
LMCLS,launch agency
LMCO,launch vehicle manufacturer
LMCSS,organization
LMCSS,satellite manufacturer
LMEW,satellite manufacturer
LMI,organization
LMKSC,satellite manufacturer
LMMI,engine/motor manufacturer
LMMI,satellite manufacturer
LMMS,launch vehicle manufacturer
LMMS,satellite manufacturer
LMN,satellite manufacturer
LMPCO,launch vehicle manufacturer
LMSAL,satellite manufacturer
LMSC,launch agency
LMSC,launch vehicle manufacturer
LMSC,satellite manufacturer
LMSC,school
LMSCV,organization
LMSD,satellite manufacturer
LMSS,satellite manufacturer
LMSSD,launch vehicle manufacturer
LMSSD,satellite manufacturer
LMT,satellite manufacturer
LMTEW,satellite manufacturer
LMVF,satellite manufacturer
LOR,organization
LOR,satellite manufacturer
LORI,organization
LPA,school
LPARL,satellite manufacturer
LPARL,school
LPC,engine/motor manufacturer
LPSC,engine/motor manufacturer
LPSC,satellite manufacturer
LPSCM,engine/motor manufacturer
LPSP,school
LRBA,engine/motor manufacturer
LRBA,launch agency
LRBA,launch vehicle manufacturer
LRBA,school
LRL,launch agency
LRL,satellite manufacturer
LRL,school
LRPG,launch site
LRRC,launch vehicle manufacturer
LRRC,school
LRS,engine/motor manufacturer
LRS,launch agency
LRS,launch vehicle manufacturer
LRS,school
LSKY,organization
LSKYB,organization
LT,country
LTU,satellite manufacturer
LTV,launch vehicle manufacturer
LTV,satellite manufacturer
LTVCAM,launch vehicle manufacturer
LTVE,satellite manufacturer
LTVM,launch vehicle manufacturer
LUNA,astronomical polity
LUND,school
LUX,school
LUXG,organization
LUXS,organization
LUXS,satellite manufacturer
LV,country
LVN,launch vehicle manufacturer
LY,country
LYK,launch vehicle manufacturer
M42,satellite manufacturer
MA,country
MAI,organization
MAIMD,satellite manufacturer
MAIO,organization
MAIO,satellite manufacturer
MAK,engine/motor manufacturer
MAK,launch agency
MAK,launch vehicle manufacturer
MAK,organization
MAK,satellite manufacturer
MARCO,satellite manufacturer
MARQ,engine/motor manufacturer
MARQO,engine/motor manufacturer
MARTB,engine/motor manufacturer
MARTB,launch vehicle manufacturer
MARTB,satellite manufacturer
MARTD,launch vehicle manufacturer
MARTO,launch vehicle manufacturer
MASTEN,engine/motor manufacturer
MASTEN,launch vehicle manufacturer
MATRA,launch agency
MATRA,launch vehicle manufacturer
MATRA,school
MATT,satellite manufacturer
MATV,satellite manufacturer
MAXAR,satellite manufacturer
MAXARB,satellite manufacturer
MAXARM,satellite manufacturer
MBAK,satellite manufacturer
MBB,engine/motor manufacturer
MBB,launch agency
MBB,organization
MBB,satellite manufacturer
MBB,school
MBBE,satellite manufacturer
MBBM,satellite manufacturer
MBCO,organization
MC,country
MCDA,launch vehicle manufacturer
MCDA,satellite manufacturer
MCI,organization
MDA,launch agency
MDA,organization
MDA,school
MDABC,satellite manufacturer
MDAC,engine/motor manufacturer
MDAC,launch vehicle manufacturer
MDAC,satellite manufacturer
MDAC,school
MDAM,satellite manufacturer
MDASL,satellite manufacturer
MDD,launch agency
MDD,meteorological
MDHSV,satellite manufacturer
MDR,satellite manufacturer
MDSSC,launch agency
MEAS,organization
MEGS,organization
MEGS,satellite manufacturer
MEI,satellite manufacturer
MEISEI,organization
MEISEI,satellite manufacturer
MEIT,satellite manufacturer
MELB,organization
MELB,satellite manufacturer
MELCO,satellite manufacturer
MEWTA,school
MGON,organization
MGU,organization
MGU,satellite manufacturer
MH,country
MHI,engine/motor manufacturer
MHI,launch agency
MHI,satellite manufacturer
MHIME,engine/motor manufacturer
MHITO,launch vehicle manufacturer
MHITO,satellite manufacturer
MICOM,launch agency
MICRC,satellite manufacturer
MICRC2,satellite manufacturer
MICRCA,satellite manufacturer
MICROC,satellite manufacturer
MICSG,organization
MICSG,satellite manufacturer
MICSP,satellite manufacturer
MICSY,satellite manufacturer
MILAN,satellite manufacturer
MILAN,school
MILLEI,satellite manufacturer
MILLEN,satellite manufacturer
MILTEC,satellite manufacturer
MINCYT,organization
MINES,satellite manufacturer
MIRC,school
MISU,school
MIT,launch vehicle manufacturer
MIT,satellite manufacturer
MIT,school
MITLL,launch agency
MITLL,organization
MITLL,satellite manufacturer
MITLL,school
MITT,engine/motor manufacturer
MITT,launch vehicle manufacturer
MM,launch vehicle manufacturer
MM,satellite manufacturer
MMA,launch agency
MMAS,satellite manufacturer
MMCLS,launch agency
MMD,launch vehicle manufacturer
MMD,satellite manufacturer
MMEW,satellite manufacturer
MMMI,satellite manufacturer
MMPCO,launch vehicle manufacturer
MMSS,satellite manufacturer
MMST,satellite manufacturer
MMSV,satellite manufacturer
MMVF,satellite manufacturer
MN,country
MNF,launch agency
MNF,meteorological
MNF,school
MO,organization
MO,school
MOD,launch agency
MOD,organization
MOLN,organization
MOLN,satellite manufacturer
MOM,organization
MONTP2,organization
MONTP2,satellite manufacturer
MOOGNF,engine/motor manufacturer
MOOGW,engine/motor manufacturer
MORF,organization
MOTO,satellite manufacturer
MOTOS,engine/motor manufacturer
MOZHA,organization
MOZHA,satellite manufacturer
MPAE,school
MPE,launch agency
MPE,organization
MPE,satellite manufacturer
MPE,school
MPIH,school
MPIK,launch agency
MPIK,school
MPSC,organization
MPU,satellite manufacturer
MR,country
MRI,school
MRN,launch agency
MRN,school
MSBTR,organization
MSC,organization
MSC,school
MSCI,satellite manufacturer
MSFC,engine/motor manufacturer
MSFC,launch agency
MSFC,launch vehicle manufacturer
MSFC,organization
MSFC,satellite manufacturer
MSFC,school
MSGC,organization
MSSL,school
MSU,organization
MSU,satellite manufacturer
MSU,school
MSUKY,organization
MSUKY,satellite manufacturer
MSV,organization
MSVYAZ,organization
MU,country
MUNIZ,satellite manufacturer
MV,country
MV7,launch agency
MVS,launch agency
MVSM,launch agency
MX,country
MY,country
N,country
NAA,engine/motor manufacturer
NAA,launch vehicle manufacturer
NAA,satellite manufacturer
NAAD,launch vehicle manufacturer
NAAD,satellite manufacturer
NAADR,engine/motor manufacturer
NACA,launch agency
NADA,launch agency
NAFI,satellite manufacturer
NAG,organization
NAG,satellite manufacturer
NAG,school
NAHU,organization
NAIC,launch agency
NAIC,school
NAIR,organization
NAKA,satellite manufacturer
NAL,engine/motor manufacturer
NAL,launch agency
NAL,launch vehicle manufacturer
NAL,organization
NAL,satellite manufacturer
NAMFI,launch agency
NAMMO,engine/motor manufacturer
NAMMO,launch agency
NAMMO,launch vehicle manufacturer
NAMMO,school
NAMTC,launch agency
NANSFI,organization
NANSFI,satellite manufacturer
NAOJ,school
NARSS,organization
NASA,launch agency
NASA,launch vehicle manufacturer
NASA,organization
NASA,satellite manufacturer
NASA,school
NASAHQ,launch agency
NASAHQ,launch vehicle manufacturer
NASAHQ,satellite manufacturer
NASDA,engine/motor manufacturer
NASDA,launch agency
NASDA,launch vehicle manufacturer
NASDA,organization
NASDA,satellite manufacturer
NASDA,school
NASDM,satellite manufacturer
NATO,organization
NAVAIR,organization
NAWC,launch agency
NAWC,launch vehicle manufacturer
NAWC,school
NAXS,school
NBN,organization
NBS,school
NCAR,school
NCKU,organization
NCKU,satellite manufacturer
NCU,school
NDAWN,organization
NDRE,launch agency
NDRE,organization
NDRE,school
NEC,satellite manufacturer
NECST,satellite manufacturer
NECT,satellite manufacturer
NECTF,satellite manufacturer
NECTKA,satellite manufacturer
NECTKE,satellite manufacturer
NESCOMN,launch agency
NESCOMN,launch vehicle manufacturer
NESCOMP,launch agency
NEU,school
NEWSAT,organization
NG,country
NGAA,satellite manufacturer
NGAS,organization
NGAS,satellite manufacturer
NGCOM,organization
NGISABL,engine/motor manufacturer
NGISD,launch agency
NGISG,satellite manufacturer
NGISGO,satellite manufacturer
NGISH,engine/motor manufacturer
NGISW,launch vehicle manufacturer
NGNW,satellite manufacturer
NGST,satellite manufacturer
NHK,organization
NICP,school
NICS,organization
NIHON,organization
NIHON,satellite manufacturer
NII125,engine/motor manufacturer
NII88,launch agency
NII88,launch vehicle manufacturer
NII88,organization
NII88A,launch agency
NII88A,launch vehicle manufacturer
NIIM,engine/motor manufacturer
NIIPP,organization
NIIPP,satellite manufacturer
NIKUS,satellite manufacturer
NILE,organization
NIPR,launch agency
NIPR,school
NIRFI,school
NISS,engine/motor manufacturer
NISS,satellite manufacturer
NISST,engine/motor manufacturer
NISST,launch vehicle manufacturer
NIUTN,satellite manufacturer
NIVR,organization
NJUST,organization
NJUST,satellite manufacturer
NKAU,organization
NKE,engine/motor manufacturer
NKO,launch agency
NL,country
NLR,satellite manufacturer
NMC,engine/motor manufacturer
NMC,launch agency
NMC,launch vehicle manufacturer
NMC,school
NMCOL,satellite manufacturer
NMIT,organization
NMIT,satellite manufacturer
NMSA,school
NMSU,launch agency
NMSU,launch vehicle manufacturer
NMSU,school
NOAA,launch agency
NOAA,organization
NOAA,school
NOBY,school
NOL,launch agency
NOL,school
NONAN,launch agency
NORD,launch vehicle manufacturer
NORD,satellite manufacturer
NORDS,satellite manufacturer
NORLM,launch vehicle manufacturer
NORTH,launch vehicle manufacturer
NORTH,satellite manufacturer
NORTHC,engine/motor manufacturer
NORTHS,satellite manufacturer
NOTS,engine/motor manufacturer
NOTS,launch agency
NOTS,launch vehicle manufacturer
NOTS,organization
NOTS,satellite manufacturer
NOTS,school
NOVTR,launch vehicle manufacturer
NPL,school
NPOE,launch vehicle manufacturer
NPOE,organization
NPOE,satellite manufacturer
NPOL,engine/motor manufacturer
NPOL,launch agency
NPOL,launch vehicle manufacturer
NPOL,organization
NPOL,satellite manufacturer
NPOL,school
NPOLO,launch agency
NPOMA,launch vehicle manufacturer
NPOMA,organization
NPOMA,satellite manufacturer
NPOPM,organization
NPOPM,satellite manufacturer
NPOPMR,organization
NPOPMR,satellite manufacturer
NPOT,engine/motor manufacturer
NRCC,launch agency
NRCC,organization
NRCC,satellite manufacturer
NRCC,school
NRL,engine/motor manufacturer
NRL,launch agency
NRL,launch vehicle manufacturer
NRL,organization
NRL,satellite manufacturer
NRL,school
NRO,organization
NROC,organization
NSA,launch agency
NSA,organization
NSA,school
NSAB,organization
NSC,organization
NSC,satellite manufacturer
NSDC,launch agency
NSF,launch agency
NSF,organization
NSL,organization
NSL,satellite manufacturer
NSMC,organization
NSPO,engine/motor manufacturer
NSPO,launch agency
NSPO,launch vehicle manufacturer
NSPO,organization
NSPO,school
NSPT,organization
NSRDA,organization
NSRDA,satellite manufacturer
NSROC,school
NSS,organization
NSWCPH,school
NSWCWS,school
NTNF,launch agency
NTNU,organization
NTNU,satellite manufacturer
NTT,organization
NTTDM,organization
NTU,organization
NTU,satellite manufacturer
NUAA,organization
NUAA,satellite manufacturer
NUDTC,engine/motor manufacturer
NUDTC,launch vehicle manufacturer
NUDTC,organization
NUDTC,satellite manufacturer
NUM,satellite manufacturer
NUS,organization
NVART,organization
NWC,launch vehicle manufacturer
NWC,school
NWNAZ,satellite manufacturer
NWPU,satellite manufacturer
NWURKS,satellite manufacturer
NYSH,organization
NYU,school
NZ,country
NZRD,country
O3B,organization
O3BS,organization
OAKAE,satellite manufacturer
OAR,organization
OATKABL,engine/motor manufacturer
OATKD,launch agency
OATKG,satellite manufacturer
OATKGO,satellite manufacturer
OATKH,engine/motor manufacturer
OATKW,launch vehicle manufacturer
OAZ,satellite manufacturer
OCOS,satellite manufacturer
OERL,satellite manufacturer
OHB,organization
OHB,satellite manufacturer
OIT,organization
OIT,satellite manufacturer
OKB1,engine/motor manufacturer
OKB1,launch vehicle manufacturer
OKB1,organization
OKB1,satellite manufacturer
OKB10,organization
OKB10,satellite manufacturer
OKB117,engine/motor manufacturer
OKB154,engine/motor manufacturer
OKB16,engine/motor manufacturer
OKB1F2,satellite manufacturer
OKB1F3,organization
OKB1F3,satellite manufacturer
OKB2,engine/motor manufacturer
OKB23,launch vehicle manufacturer
OKB276,engine/motor manufacturer
OKB456,engine/motor manufacturer
OKB52,organization
OKB52,satellite manufacturer
OKB586,launch vehicle manufacturer
OKB586,organization
OKB586,satellite manufacturer
OKBZ154,engine/motor manufacturer
OKSU,school
OLIN,engine/motor manufacturer
OMLGM,launch vehicle manufacturer
ONERA,engine/motor manufacturer
ONERA,launch agency
ONERA,launch vehicle manufacturer
ONERA,school
ONR,launch agency
ONR,school
ONUSJ,school
OPM,school
OPT,organization
OPTS,organization
OPU,organization
OPU,satellite manufacturer
ORBC,organization
ORBI,organization
ORD,launch agency
ORD,school
ORDRSA,launch agency
ORDRSA,launch vehicle manufacturer
ORDRSA,school
OREN,launch vehicle manufacturer
ORI,organization
ORIAS,school
ORL,school
OSAKA,school
OSC,launch agency
OSC,launch vehicle manufacturer
OSC,organization
OSCAR,organization
OSCAR,satellite manufacturer
OSCC,engine/motor manufacturer
OSCC,launch agency
OSCC,launch vehicle manufacturer
OSCC,satellite manufacturer
OSCD,engine/motor manufacturer
OSCD,launch agency
OSCD,organization
OSCD,satellite manufacturer
OSCG,organization
OSCG,satellite manufacturer
OSCGA,satellite manufacturer
OSCM,satellite manufacturer
OSCV,launch vehicle manufacturer
OSCW,launch vehicle manufacturer
OSLO,school
OSN,organization
OSSI,organization
OSSI,satellite manufacturer
OSU,school
OTR,engine/motor manufacturer
OTR,launch agency
OTR,launch vehicle manufacturer
OTR,school
OTRG,launch agency
OTRG,launch vehicle manufacturer
OX,school
P,country
PACSCI,organization
PAI,launch vehicle manufacturer
PAN,organization
PAR,country
PARA,organization
PARAC,organization
PARD,engine/motor manufacturer
PARD,launch agency
PARD,launch vehicle manufacturer
PARD,school
PARIS,school
PASI,organization
PATRAS,satellite manufacturer
PAVKH,engine/motor manufacturer
PCZ,country
PE,country
PER,organization
PERM,engine/motor manufacturer
PERM2,engine/motor manufacturer
PESU,satellite manufacturer
PFAB,satellite manufacturer
PFRR,launch agency
PG,country
PH,country
PH4,organization
PHFO,satellite manufacturer
PHFP,satellite manufacturer
PHILR,engine/motor manufacturer
PHLO,satellite manufacturer
PHLP,satellite manufacturer
PIHM,engine/motor manufacturer
PIHM,launch agency
PIHM,school
PITT,school
PK,country
PKAFSC,launch agency
PKEL,satellite manufacturer
PKNDC,engine/motor manufacturer
PKNDC,launch vehicle manufacturer
PKO,launch agency
PKO,organization
PKPMO,launch vehicle manufacturer
PL,country
PLA,launch agency
PLA2AC,launch agency
PLABS,organization
PLABS,satellite manufacturer
PLABST,organization
PLABST,satellite manufacturer
PLANS,launch agency
PLARF,launch agency
PLRES,organization
PLRES,satellite manufacturer
PLRL,country
PMR,launch agency
PMR,school
POL,launch vehicle manufacturer
POL,organization
POL,satellite manufacturer
POLK,organization
POLK,satellite manufacturer
POLY,satellite manufacturer
POPACS,organization
PORTO,satellite manufacturer
POUDR,engine/motor manufacturer
PR,country
PRIMVN,engine/motor manufacturer
PRIMX,engine/motor manufacturer
PRIN,launch agency
PRIN,school
PRINCE,engine/motor manufacturer
PRIR,organization
PRL,school
PRO,launch agency
PROG,engine/motor manufacturer
PROG,launch vehicle manufacturer
PROG,satellite manufacturer
PROGT,launch vehicle manufacturer
PROGT,satellite manufacturer
PROTO,organization
PSC,satellite manufacturer
PSN,organization
PSRC,school
PSU,launch agency
PSU,school
PT,country
PU,launch agency
PUCP,organization
PUCP,satellite manufacturer
PUMPK,organization
PUMPK,satellite manufacturer
PVO,launch agency
PVO,organization
PWAR,organization
PWAR,satellite manufacturer
PWCSD,engine/motor manufacturer
PWFL,engine/motor manufacturer
PWRD,engine/motor manufacturer
PWRD,satellite manufacturer
QA,country
QB50,organization
QBUS,organization
QINQ,satellite manufacturer
QINS,satellite manufacturer
QTT,organization
QUAFI,organization
QUB,school
QUETZ,organization
QUK,school
RACE,organization
RAE,launch agency
RAE,launch vehicle manufacturer
RAE,organization
RAE,satellite manufacturer
RAE,school
RAF,launch agency
RAFL,engine/motor manufacturer
RAFL,satellite manufacturer
RAFSPO,organization
RAKA,launch agency
RAL,organization
RAL,satellite manufacturer
RAL,school
RAYES,satellite manufacturer
RAYM,satellite manufacturer
RAYTH,launch vehicle manufacturer
RAYTH,satellite manufacturer
RBOW,organization
RCA,satellite manufacturer
RCAF,school
RCAR,launch agency
RCAV,satellite manufacturer
RDYNE,engine/motor manufacturer
RDYNM,engine/motor manufacturer
RDYNN,engine/motor manufacturer
REP,launch vehicle manufacturer
REP,satellite manufacturer
REPF,satellite manufacturer
RESH,organization
RESH,satellite manufacturer
REYE,organization
RGMS,launch agency
RGMS,organization
RGMS,school
RICE,satellite manufacturer
RICE,school
RIKEN,school
RIKK,school
RIMSAT,organization
RIU,school
RKA,launch agency
RKA,organization
RKKE,organization
RKKE,satellite manufacturer
RLABN,engine/motor manufacturer
RLABN,launch agency
RLABN,launch vehicle manufacturer
RLABN,school
RLABU,engine/motor manufacturer
RMAF,organization
RMD,engine/motor manufacturer
RMI,engine/motor manufacturer
RMILD,engine/motor manufacturer
RMIPL,engine/motor manufacturer
RN,launch agency
RNAF,launch agency
RNII,school
RO,country
ROE,school
ROGAU,organization
ROGAU,satellite manufacturer
ROHR,satellite manufacturer
ROISS,satellite manufacturer
RORD,engine/motor manufacturer
RORD,launch vehicle manufacturer
ROSAP,organization
ROSAP,satellite manufacturer
ROSAP,school
ROSTO,organization
ROWAN,satellite manufacturer
ROYAL,organization
RPEW,engine/motor manufacturer
RPI,engine/motor manufacturer
RPI,launch vehicle manufacturer
RRC,engine/motor manufacturer
RRF,launch agency
RRL,launch agency
RRL,school
RROY,engine/motor manufacturer
RROYC,engine/motor manufacturer
RROYL,engine/motor manufacturer
RSC,launch agency
RSQ,organization
RSRS,school
RTG,launch agency
RTG,school
RU,country
RUAF,organization
RUAF,satellite manufacturer
RUAG,satellite manufacturer
RUAGZ,satellite manufacturer
RVSN,launch agency
RVSN,organization
RVSNR,launch agency
RWI,launch vehicle manufacturer
RWI,satellite manufacturer
RWID,satellite manufacturer
RWISB,satellite manufacturer
S,country
S394I,launch agency
S4300,launch agency
S7,launch agency
S801,engine/motor manufacturer
SA,country
SAAB,satellite manufacturer
SAAB,school
SAABE,satellite manufacturer
SAABS,satellite manufacturer
SAABSA,satellite manufacturer
SAABSP,satellite manufacturer
SAAF,launch agency
SABCA,satellite manufacturer
SAC,launch agency
SAC,school
SAFRAN,engine/motor manufacturer
SAFSP,organization
SAIC,school
SAMSO,launch agency
SAMSO,launch vehicle manufacturer
SAMSO,organization
SAMSO,school
SAMX,organization
SAND,launch agency
SAND,launch vehicle manufacturer
SAND,school
SANDF,organization
SANH,satellite manufacturer
SANJ,engine/motor manufacturer
SANJ,launch vehicle manufacturer
SANJ9,launch vehicle manufacturer
SANL,launch agency
SANL,launch vehicle manufacturer
SANL,organization
SANL,satellite manufacturer
SAO,satellite manufacturer
SAO,school
SASK,school
SASMAC,organization
SAST,launch agency
SAST,launch vehicle manufacturer
SAST,organization
SAST,satellite manufacturer
SATBYUL,satellite manufacturer
SATEL,organization
SATELOG,organization
SATELOG,satellite manufacturer
SATGE,organization
SATHYA,organization
SBA,launch vehicle manufacturer
SBRC,school
SBS,organization
SCAL,engine/motor manufacturer
SCAL,launch agency
SCAL,launch vehicle manufacturer
SCAL,school
SCC,organization
SCCJ,organization
SCEL,launch agency
SCEL,school
SCHJ,satellite manufacturer
SCSS,satellite manufacturer
SCT,organization
SCU,organization
SCU,satellite manufacturer
SDC,engine/motor manufacturer
SDC,launch agency
SDCO,engine/motor manufacturer
SDCO,launch vehicle manufacturer
SDCO,satellite manufacturer
SDCO,school
SDIO,launch agency
SDIO,organization
SDIO,school
SDLP,satellite manufacturer
SDP,engine/motor manufacturer
SDSC,school
SEAL,launch agency
SEALC,launch agency
SEALN,launch agency
SEALP,launch agency
SECM,organization
SECM,satellite manufacturer
SECT,launch agency
SECT,school
SEDSH,organization
SEDSH,satellite manufacturer
SEL,satellite manufacturer
SELEN,satellite manufacturer
SELM,satellite manufacturer
SENER,satellite manufacturer
SEP,engine/motor manufacturer
SEPB,engine/motor manufacturer
SEPBL,engine/motor manufacturer
SEPR,engine/motor manufacturer
SEPRV,engine/motor manufacturer
SEPVR,engine/motor manufacturer
SEREB,launch vehicle manufacturer
SES,organization
SESA,organization
SESBM,organization
SESE,organization
SESG,organization
SESNS,organization
SESS,organization
SESSL,organization
SESW,organization
SESWS,organization
SESWSP,organization
SG,country
SGAU,organization
SGAU,satellite manufacturer
SH,country
SHAB,organization
SHANGT,organization
SHANGT,satellite manufacturer
SHANT,satellite manufacturer
SHAOX,satellite manufacturer
SHAR,launch site
SHAR,launch vehicle manufacturer
SHEF,school
SHIN,organization
SHINSHU,organization
SHINSHU,satellite manufacturer
SHIZ,satellite manufacturer
SIBGAU,satellite manufacturer
SII,organization
