ORG_CODE,ORG_NAME,ORG_CLASS,PARENT_ORG_CODE,ORG_STATE_CODE,ORG_LOCATION,ORG_START_DATE,ORG_STOP_DATE,ORG_UTF8_NAME
THKCOR,"Cordant Technologies, ThiokolPropulsion",business,,US,"Salt Lake CIty, Utah",1998-01-01 00:00:00,2000-01-01 00:00:00,"Cordant Technologies, ThiokolPropulsion"
THKE,ThiokolElkton,business,THK,US,"Elkton, Maryland",1947-01-01 00:00:00,2001-01-01 00:00:00,Thiokol-Elkton
THKU,Thiokol Wasatch Div/Air Force Plant 78,business,THK,US,"Brigham City/Promontory, Utah",1957-01-01 00:00:00,2001-01-01 00:00:00,Thiokol Wasatch Div/Air Force Plant 78
THKX,Thiokol/Huntsville,business,THK,US,"Huntsville, Alabama",1949-01-01 00:00:00,1996-01-01 00:00:00,Thiokol/Huntsville
THKXM,Thiokol Longhorn Division,business,THK,US,"Marshall, Texas",1952-01-01 00:00:00,1971-01-01 00:00:00,Thiokol Longhorn Division
THUR,Thuraya Satellite,business,,UAE,Abu Dhabi,1997-01-01 00:00:00,2018-04-01 00:00:00,Thuraya Satellite
THURY,Thuraya Satellite,business,ALYAH,UAE,Abu Dhabi,2018-04-01 00:00:00,,Thuraya Satellite (Yahsat)
TIANJ,Tianjin Aerospace Long March Rocket Manufacturing Co.Ltd.,business,,CN,Tianjin,2009-01-01 00:00:00,,天津航天长征火箭制造有限公司
TIFR,Tata Inst.,civilian,,IN,Mumbai,1945-06-01 00:00:00,,Tata Inst. for Fundamental Research
TIT,Tokyo Inst of Technology,academic/non-profit,,J,Tokyo:Meguro,1881-01-01 00:00:00,,東京工業大学
TITV,Titov Main Test Center for Space Control,defense,RVSN,RU,"Kraznosnamensk, Rossiya",2001-08-14 00:00:00,,153-й главный испытательный космический центр имени Г. С. Титова
TJHS,Thomas Jefferson High School for Science and Technology,academic/non-profit,,US,"Alexandria, Virginia",1985-01-01 00:00:00,,Thomas Jefferson High School for Science and Technology
TLS,"Paul Sabatier University, Toulouse",academic/non-profit,,F,Toulouse:Rangueil,1961-01-01 00:00:00,,Universite de Toulouse-Paul Sabatier (Rangueil)
TM,Turkmenistan,,,TM,Ashgabat,1991-12-01 00:00:00,,Türkmenistan
TMI,Telesat Mobile Inc.,business,,CA,"Ottawa:Gloucester, Ontario",1988-01-01 00:00:00,2002-01-01 00:00:00,Telesat Mobile Inc.
TMSAT,Thai Microsatellite,academic/non-profit,,T,Bangkok,,,Thai Microsatellite Co. Ltd. (Mahanakorn UT)
TMTEL,Ministry of Communications of Turkmenistan,civilian,,TM,Ashgabat,1991-01-01 00:00:00,,Türkmenistanyň Aragatnaşyk ministrligi
TMU,Tokyo Metropolitan University,academic/non-profit,,J,Tokyo:Hachioji,2005-01-01 00:00:00,,首都大学東京
TMUT,Tokyo Metropolitan University,academic/non-profit,,J,Tokyo:Hachioji,1949-01-01 00:00:00,2005-01-01 00:00:00,東京都立大学
TNO,TNO,civilian,,NL,Den Haag,1932-01-01 00:00:00,,Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek
TNOR,Telenor,business,,N,Oslo:Fornebu,1855-01-01 00:00:00,,Telenor
TNSA,Turkmenistan National Space Agency,civilian,,TM,Ashgabat,2011-01-01 00:00:00,,Türkmenistanyň prezidentiň ýanynda Milli kosmos agentligi
TO,Tonga,,,TO,Nuku'alofa,1970-01-01 00:00:00,,Pule'anga Fakatu'i 'o Tonga
TOHO,Tohoku University,academic/non-profit,,J,"Sendai, Tohoku",1907-01-01 00:00:00,,東北大学
TOK,Tokyo University,academic/non-profit,,J,Tokyo:Komaba,1949-01-01 00:00:00,,東京大学
TOKAI,Tokai Unviersity,academic/non-profit,,J,Tokyo:Shibuya,1924-01-01 00:00:00,,東海大学
TONG,Tongasat  (Friendly Islands Satellite Co.),business,,TO,Nuku'alofa,1993-01-01 00:00:00,,Tongasat  (Friendly Islands Satellite Co.)
TORP,Polytechnic University of Turin,academic/non-profit,,I,Torino,1906-01-01 00:00:00,,Politecnico di Torino
TOSH,Toshiba Komukai Works,business,,J,"Kawasaki City, Kanagawa",1966-01-01 00:00:00,,東芝 小向工場
TOSHKE,Toshiba Keihin Works,business,,J,"Kawasaki City, Kanagawa",1966-01-01 00:00:00,2001-01-01 00:00:00,東芝 京浜工場
TOYA,Toyama Prefectural University,academic/non-profit,,J,"Imizu, Toyama",1990-01-01 00:00:00,,富山県立大学
