LAUNCH_ID,PAYLOAD_ORG_CODE
3880,NMSU
3881,NMSU
3882,NMSU
3883,NMSU
3884,NMSU
3885,NMSU
3886,NMSU
3887,NMSU
3888,NMSU
4043,SCEL
4045,SCEL
4046,SCEL
4070,NRL
4070,SBRC
4071,NRL
4071,SBRC
4072,NRL
4079,NRL
4079,SBRC
4080,USN
4081,USN
4086,NRL
4088,NRL
4088,SBRC
4089,USN
4090,USN
4095,NRL
4095,SBRC
4096,NRL
4097,NRL
4099,LMSC
4100,AFCRL
4101,LMSC
4111,UMD
4112,ISAS
4116,ISAS
4117,ISAS
4125,NRL
4126,PARD
4127,AFCRL
4129,SCEL
4129,UMI
4130,SCEL
4131,SCEL
4132,SCEL
4133,SCEL
4134,SCEL
4135,SCEL
4136,SCEL
4137,SCEL
4138,SCEL
4139,SCEL
4140,SCEL
4141,SCEL
4142,SCEL
4143,SCEL
4144,SCEL
4145,SCEL
4146,SCEL
4147,SCEL
4148,SCEL
4155,LMSC
4159,NRL
4160,LMSC
4161,NRL
4162,NRL
4163,LMSC
4165,LMSC
4166,NRL
4167,LMSC
4168,AFCRL
4171,FIAN
4219,LMSC
4220,AFCRL
4221,AFCRL
4225,AFCRL
4227,LMSC
4228,CNRS
4228,PARIS
4229,CNRS
4229,PARIS
4230,AFCRL
4230,UCO
4231,NRL
4232,FIAN
4232,IAM
4235,AFCRL
4237,FIAN
4237,IAM
4238,PARD
4239,FIAN
4239,IAM
4240,AFCRL
4240,UUT
4242,AFCRL
4242,UUT
4243,AFCRL
4243,UUT
4244,LMSC
4245,AFCRL
4245,UUT
4246,NRL
4249,NRL
4250,UMI
4251,LMSC
4252,NRL
4253,NRL
4255,NRL
4257,NRL
4258,NRL
4259,NMSU
4261,NRL
4263,NRL
4264,NRL
4268,AFCRL
4270,UMI
4271,UMI
4272,BRL
4273,UMI
4275,LMSC
4276,LMSC
4277,LMSC
4279,UMD
4280,LMSC
4281,LMSC
4282,LMSC
4283,LMSC
4285,UMI
4286,UMI
4287,LMSC
4288,UMI
4291,AFCRL
4292,UMI
4293,UMI
4294,LMSC
4295,UMI
4296,UMI
4298,USN
4299,USN
4300,USN
4301,USN
4302,USN
4303,SCEL
4304,SCEL
4313,LMSC
4317,NRL
4319,ISAS
4320,ISAS
4326,NRL
4327,RAE
4327,WRE
4329,LRL
4330,LRL
4340,SUI
4357,SCEL
4362,AFCRL
4362,UMI
4365,NMSU
4408,LRL
4409,LRL
4410,ISAS
4411,ISAS
4421,LRL
4422,LRL
4423,LRL
4424,LRL
4430,ISAS
4431,ISAS
4434,LRL
4435,LRL
4436,LRL
4437,NRL
4439,NRL
4442,SAND
4443,UMI
4444,LRL
4445,LRL
4448,NRL
4450,SUI
4451,SUI
4452,SUI
4454,SUI
4459,SCEL
4459,UMI
4460,SCEL
4462,NRL
4466,LRL
4467,LRL
4472,NRL
4473,NRL
4478,SUI
4479,SUI
4480,SUI
4481,SAND
4483,AFCRL
4484,RAE
4484,WRE
4485,SUI
4486,SCEL
4486,UMI
4487,SCEL
4487,UMI
4488,NRL
4489,NRL
4492,UMD
4493,UMD
4494,UMD
4495,UMD
4496,SAND
4497,LMSC
4498,LMSC
4501,CNRS
4501,PARIS
4502,NRL
4504,SUI
4505,IAM
4506,AFCRL
4506,UMI
4510,FIAN
4512,CNRS
4512,PARIS
4513,AFCRL
4515,AFCRL
4516,SUI
4517,SUI
4518,WRE
4521,SUI
4523,AFCRL
4525,SUI
4526,AFCRL
4527,SUI
4528,SUI
4529,SUI
4530,SUI
4531,SUI
4532,SUI
4533,LMSC
4534,SUI
4535,SUI
4536,SUI
4538,SUI
4539,SUI
4540,SUI
4542,SUI
4543,AFCRL
4544,LMSC
4547,NRL
4550,AFCRL
4551,SUI
4552,SUI
4553,SUI
4554,SUI
4555,LMSC
4556,SUI
4557,SUI
4558,SUI
4559,SUI
4560,SUI
4561,SUI
4562,SUI
4563,SUI
4564,SUI
4565,SUI
4566,LMSC
4567,SUI
4568,SUI
4569,AFCRL
4571,AFCRL
4572,SUI
4573,SUI
4574,FIAN
4575,AFCRL
4576,BIR
4576,ICST
4576,UCL
4579,AFCRL
4580,AFCRL
4582,BRL
4583,NRL
4586,SCEL
4586,UMI
4587,SCEL
4587,UMI
4588,LMSC
4621,NRL
4653,NRL
4697,CNRS
4697,PARIS
4703,AFCRL
4704,CNRS
4704,PARIS
4705,NRL
4706,NRL
4707,NRL
4709,AN
4710,AN
4711,AN
4715,AFCRL
4715,UUT
4719,AFCRL
4719,UUT
4727,NRL
4728,NRL
4730,NRL
4733,AFCRL
4735,AFCRL
4737,LMSC
4738,SCEL
4738,UMI
4739,QUB
4740,NRL
4741,SCEL
4741,UMI
4743,NRL
4747,SUI
4748,SUI
4749,UCO
4750,SUI
4751,SUI
4754,SUI
4756,SUI
4757,SUI
4758,SUI
4759,FIAN
4760,SUI
4761,SUI
4762,SUI
4763,SUI
4764,SUI
4766,NRL
4768,BRL
4769,IAM
4770,AN
4771,SCEL
4771,UMI
4772,SUI
4773,NRL
4775,AFCRL
4775,CIT
4776,LRL
4777,LRL
4778,LRL
4800,SUI
4810,USN
4811,USN
4812,USN
4814,USN
4818,LMSC
4819,SUI
4820,BRL
4827,ISAS
4828,ISAS
4833,UMD
4834,UMD
4835,UMD
4839,UMD
4840,UMD
4841,KOBE
4861,LARC
4862,SUI
4863,SUI
4866,AFCRL
4868,TOK
4869,TAO
4871,TOK
4889,SMSA
4890,SMSA
4891,SMSA
4925,LARCN
4926,NMSU
4927,NMSU
4928,NMSU
4930,NMSU
4931,NMSU
4932,NMSU
4933,NOTS
4934,NOTS
4942,RAE
4942,UCL
4945,ISAS
4949,ISAS
4951,ISAS
4952,ISAS
4961,ISAS
4962,ISAS
4967,ISAS
4968,ISAS
4969,BIR
4969,ICST
4969,UCL
4971,ISAS
4972,KOBE
4976,LARC
4978,SAND
4979,SAND
4980,KOBE
4982,NOTS
4985,AFSWC
4988,NRL
4989,AFSWC
4990,NOTS
4992,SCEL
4993,NRL
4997,SAND
4998,SAND
4999,SAND
5000,SAND
5002,SAND
5003,AFSWP
5004,UMD
5005,UMD
5006,UMD
5008,UMD
5009,UMD
5010,UMD
5011,NOTS
5012,NOTS
5035,LARC
5042,AFSWP
5043,TAO
5044,KOBE
5047,NRL
5048,UMI
5049,UMI
5050,UMI
5051,UMI
5052,UMI
5053,SAND
5054,SAND
5055,UMI
5056,UMI
5057,UMI
5059,WRE
5060,SAND
5061,LMSC
5062,KOBE
5063,SCEL
5064,WRE
5065,WRE
5066,WRE
5067,WRE
5068,WRE
5069,SUI
5071,AFSWP
5074,UMI
5075,BRL
5076,AFCRL
5078,NRL
5081,SAND
5082,NRL
5083,UMI
5084,NRL
5085,SAND
5089,LRL
5090,LRL
5091,LRL
5092,LRL
5093,LRL
5094,NRL
5095,LRL
5096,LRL
