STAGE_NAME,MANUFACTURER_ORG_CODE
IUS SRM-1,UTC
IUS SRM-2,UTC
Icarus,ERAU
Icarus Stage 2,ERAU
Ikar,PROG
Imp Malemute,THKU
Improved Orion,AJSP
Iraqi Gun Projectile,SRCI
Iris,ATLR
Iroquois,THKE
Iskander,KBM
Iskander-E,KBM
Iskander-M,KBM
Ivanov,FIAN
Ivanov Booster,FIAN
JCR,NISST
JCR Booster,NISST
Javelin 3,SDCO
Jericho II,SUD
Jericho IIIA1,IAI
Jericho IIIA2,IAI
Jericho-1,IAI
Judi I,RPI
Judi III,RPI
Jupiter,ABMA
Jupiter,CHRY
K-15 Booster,DRDO
K-15 Stage 2,DRDO
K-4 Booster,DRDO
K-4 Stage 2,DRDO
K-BATS,HANWHA
K10S,ISAS
K150,ISAS
K245,ISAS
K250,ISAS
K420,ISAS
K420(1/3),ISAS
K420H,ISAS
KM Rockoon,NISST
KM-D,NISST
KM-H,NISST
KM-L,NISST
KM-M,NISST
KM-P,NISST
KM-V1,NISST
KM-V2b,NISST
KM-V2c,NISST
KN-02,KBM
KN-11,KPA
KN-11-2,KPA
KSLV-1 Stage 2,KARI
KSR,KARI
KSR Booster,KARI
KSR-III,KARI
KT-1 St3,HEXI
KZ-1 St3,HEXI
KZ-1 St4,HEXI
KZ-1A St1,ARMT
KZ-2 St3,HEXI
Kappa 1,ISAS
Kappa 3 Booster,ISAS
Kappa 4,ISAS
Kappa 4 Booster,ISAS
Kappa 6,ISAS
Kappa 6H,ISAS
Kappa 8,ISAS
Kappa 8L,ISAS
Kavoshgar,IRSA
Khorramshahr,IR
Kisha,RPI
Kiva,RPI
L-3 Blok G,OKB1
L140-YF21,CALT
L180-YF21B,CALT
L35-YF24,CALT
L35-YF24B,CALT
L480S,ISAS
L500,ISAS
L735,ISAS
L735(1/3),ISAS
LAPSTAR,WRE
LE-3,MHI
LE-5,MHITO
LEO-1,AJSP
LEO-46,AJSP
LEO-7,AJSP
LM AS,GRUM
LPR-006,VSSC
LPR-3T,VSSC
LR87,MARTD
LR87AJ11,MARTD
LR87AJ11A,MARTD
LR87AJ5,MARTB
LR87AJ9,MARTD
LR91,MARTD
LR91AJ11,MARTD
LR91AJ11A,MARTD
LR91AJ5,MARTB
LR91AJ9,MARTD
LS-A,MHITO
LS-A Booster,MHITO
LS-C,MHITO
LS-C Booster,MHITO
LS-C-7,MHITO
LT Thor DSV-2L-1A,DACHB
LT Thor DSV-2L-1B,DACHB
LT Thor DSV-2L-1C,DACHB
LT Thor N,DACHB
LaRC Plastic,LARC
Lacrosse,MARTO
Lambda2-2,ISAS
Lambda3-2,ISAS
Lambda3-3,ISAS
Lance,GCR
Lance Missile,LTVM
Lance XM-45,THKX
Lark,FAIRA
Lex,SNECMA
Lobster I,RORD
Loki,GCR
Loki II,GCR
Loki SR71-AD-1,SDCO
Loki-Dart,GCR
Long Tom,WRE
Luna-M,MIT
Lupus,WRE
Lupus 2,WRE
Lupus 3,WRE
Luzou,SEP
Lynx,NAWC
M-10,NISST
M-100,TAIFUN
M-100 St2,TAIFUN
M-13,NISST
M-13TVC,NISST
M-14,NISST
M-20,NISST
M-22TVC,NISST
M-23,NISST
M-24,NISST
M-25,NISST
M-250,TAIFUN
M-30,NISST
M-34,NISST
M-34c,NISST
M-35,NISST
M-3A,NISST
M-3B,NISST
M-40,NISST
M-6,ABL
M55A1,THKU
M55E1,THKU
M55E1-ATK,THKU
M56A1,SVC
M57A1,HERC
MARC 14A1,ATLR
MARC 14B1,USN
MARC 42A1,ATLR
MARC 42A2,ATLR
MCR-3,VSSC
MD-620,DASST
MERA,KBPT
MG-18,LPC
MLRS,LMCAM
MMR-06,GMS
MR-1,NMC
MR-12,TAIFUN
MR-20,TAIFUN
MR-30,TAIFUN
MR-UR-100 BR,YUZH
MR-UR-100 St 1,YUZH
MR-UR-100 St 2,YUZH
MSBS 401,AELM
MSBS 402,AELM
MSBS 403,AELM
MSBS 501,AELM
MSBS 502,AELM
MSBS 503,AELM
MSD,NRL
MT-135P,NISST
MX-774,CONV
MX-775,ABL
Mace,MARTB
Malemute,THKU
Martlet 1,SRCI
Martlet 2,SRCI
Martlet 3A,SRCI
Martlet 3B,SRCI
Matador,MARTB
Mayfly,WRE
Melanie,ONERA
Melanie 1,ATEF
Melusine,CFTHB
Mesquito,LMCAM
Meteo,SUD
Meteor 1,PIHM
Meteor 3 Booster,PIHM
Meteor 3B Booster,PIHM
Meteor SRB,PIHM
Meteor-2,PAI
Metroc,ATLR
Mimosa,ONERA
Mk 104,THKE
Mk 104 (ARC),ATLCA
Mk 30,HUMS
Mk 56,ATLR
Mk 72,UTC
Mk7,PARD
Momo,IST
Musca,WRE
N-1 Blok-A,OKB1
N-1 Blok-B,OKB1
N-1 Blok-V,OKB1
NA-805,DASST
NAL-16,MHITO
NAL-25,MHITO
NAL-7,MHITO
NAL-735,NASDA
NOTS 124-C,NOTS
NOTS 3in Sph.,NOTS
NOTS 401A,NOTS
NOTS 500,NOTS
NOTS 551,NOTS
NOTS 8in,NOTS
NSPO Booster,NSPO
NSPO Stage 2,NSPO
Naro Stage 1,KHRU
Navaho Booster,NAAD
