LAUNCH_ID,AGENCY_ORG_CODE
944,APL
945,APL
946,USN
947,USA
948,ARDC
949,ORD
950,USA
951,1GMR
951,GEMTS
952,1GMR
952,GEMTS
953,USA
954,USA
955,ORD
956,USN
957,USA
958,NRL
959,NRL
959,US
960,USA
961,USN
962,APL
963,ARDC
964,APL
965,ARDC
965,USA
966,GAU4
967,GAU4
968,ARDC
969,USA
970,GAU4
971,GAU4
972,GAU4
973,GAU4
974,GAU4
975,GAU4
976,ARDC
977,USA
978,USN
979,GAU4
980,GAU4
981,GAU4
982,USA
983,ARDC
984,USA
985,GAU4
986,NRL
986,USA
987,USA
988,PARD
989,PARD
990,USAF
991,ARDC
991,US
992,USA
993,PARD
994,LRBA
995,3GMS
996,PARD
997,PARD
998,WADD
999,WADD
1000,USA
1001,ARDC
1002,USAF
1003,3GMS
1004,USA
1005,USAF
1006,PARD
1007,USAF
1008,USA
1009,USAF
1010,PARD
1011,USAF
1012,USAF
1013,ARDC
1014,6555GMS
1015,6555GMS
1016,USA
1017,USA
1018,NRL
1018,US
1019,USA
1020,USAF
1021,PARD
1022,USAF
1023,PARD
1024,USA
1025,ARDC
1025,US
1026,ORDRSA
1027,USAF
1028,USAF
1029,PARD
1030,USA
1031,USAF
1032,PARD
1033,ORDRSA
1034,USAF
1035,USAF
1036,ORDRSA
1037,PARD
1038,ORDRSA
1039,PARD
1040,ORDRSA
1041,USAF
1042,USAF
1043,PARD
1044,USAF
1045,PARD
1046,USAF
1047,USAF
1048,PARD
1049,USAF
1050,PARD
1051,USAF
1052,USAF
1053,USAF
1054,USAF
1055,LRBA
1056,USAF
1057,LRBA
1058,LRBA
1059,ORD
1060,USA
1061,USAF
1062,ORDRSA
1063,ORDRSA
1064,ORDRSA
1065,ORDRSA
1066,USAF
1067,USAF
1068,ORDRSA
1069,ORDRSA
1070,ORDRSA
1071,USA
1072,USAF
1073,USA
1074,USA
1075,ORDRSA
1076,PARD
1077,USAF
1078,USA
1079,USA
1080,6555GMS
1081,USAF
1082,USA
1083,USA
1084,USAF
1085,USAF
1086,ORDRSA
1087,ORDRSA
1088,USA
1089,ORD
1090,ORD
1091,ARDC
1092,ARDC
1093,USA
1094,ORD
1095,ARDC
1096,ARDC
1097,ARDC
1098,ARDC
1099,USA
1100,USA
1101,APL
1102,APL
1103,GAU4
1104,GAU4
1105,GAU4
1106,GAU4
1107,GAU4
1108,APL
1109,ARDC
1110,GAU4
1111,GAU4
1112,GAU4
1113,GAU4
1114,GAU4
1115,GAU4
1116,GAU4
1117,GAU4
1118,GAU4
1119,GAU4
1120,GAU4
1121,GAU4
1122,GAU4
1123,GAU4
1124,GAU4
1125,GAU4
1126,GAU4
1127,GAU4
1128,GAU4
1129,GAU4
1130,GAU4
1131,GAU4
1132,GAU4
1133,NII88A
1134,GAU4
1135,NII88A
1136,ARDC
1137,USN
1138,NII88A
1139,NII88A
1140,SCEL
1140,US
1141,NII88A
1142,NII88A
1143,ARDC
1144,SCEL
1144,US
1145,USA
1146,PARD
1147,ORDRSA
1148,ORDRSA
1149,ORDRSA
1150,ORDRSA
1151,USAF
1152,USA
1153,PARD
1154,USA
1155,USAF
1156,USA
1157,USAF
1158,USA
1159,USA
1160,ORDRSA
1161,ORDRSA
1162,USA
1163,ORDRSA
1164,USAF
1165,PARD
1166,LRBA
1167,USAF
1168,USA
1169,USAF
1170,USA
1171,USA
1172,USAF
1173,USA
1174,ORDRSA
1175,ORDRSA
1176,USA
1177,LRBA
1178,ORDRSA
1179,ORDRSA
1180,USA
1181,USA
1182,ORDRSA
1183,ORDRSA
1184,PARD
1185,PARD
1186,PARD
1187,USA
1188,USAF
1189,USA
1190,USA
1191,ORDRSA
1192,ORDRSA
1193,USA
1194,USA
1195,USA
1196,USA
1197,ORDRSA
1198,ORDRSA
1199,LRBA
1200,USA
1201,SUI
1202,SUI
1203,ARDC
1204,USA
1205,USAF
1206,PARD
1207,PARD
1208,PARD
1209,USAF
1210,LRBA
1211,ORDRSA
1212,ORDRSA
1213,USAF
1214,PARD
1215,USA
1216,USA
1217,USAF
1218,USA
1219,ORDRSA
1220,USAF
1221,USA
1222,PARD
1223,SCEL
1223,US
1224,PARD
1225,USA
1226,USA
1227,PARD
1228,USA
1229,ORDRSA
1230,USA
1231,USAF
1232,USA
1233,USA
1234,USA
1235,ORDRSA
1236,ORDRSA
1237,PARD
1238,PARD
1239,USA
1240,USA
1241,USA
1242,USA
1243,USA
1244,USAF
1245,USA
1246,USA
1247,USA
1248,ORDRSA
1249,ORDRSA
1250,ORDRSA
1251,ORDRSA
1252,USA
1253,USA
1254,LRBA
1255,USA
1256,USA
1257,USA
1258,USA
1259,USA
1260,USN
1261,ORDRSA
1262,ORDRSA
1263,PARD
1264,USA
1265,ARDC
1266,USA
1267,USAF
1268,PARD
1269,PARD
1270,USAF
1271,USA
1272,USA
1273,USA
1274,USA
1275,PARD
1276,USAF
1277,ORDRSA
1278,ORDRSA
1279,USAF
1280,USA
1281,LRBA
1282,LRBA
1283,USA
1284,PARD
1285,USA
1286,USA
1287,USA
1288,USA
1289,LRBA
1290,PARD
1291,LRBA
1292,USA
1293,USAF
1294,USAF
1295,LRBA
1296,USA
1297,USA
1298,USA
1299,LRBA
1300,PARD
1301,ORDRSA
1302,USA
1303,ORDRSA
1304,ORDRSA
1305,USA
1306,USA
1307,ORDRSA
1308,PARD
1309,USA
1310,USA
1311,USA
1312,ORDRSA
1313,ORDRSA
1314,ORDRSA
1315,ORDRSA
1316,USA
1317,USA
1318,USAF
1319,USAF
1320,ORDRSA
1321,USA
1322,ORDRSA
1323,USA
1324,USA
1325,USAF
1326,USAF
1327,USA
1328,USA
1329,USA
1330,USA
1331,ORDRSA
1332,ORDRSA
1333,ORDRSA
1334,USA
1335,USA
1336,USA
1337,USA
1338,PARD
1339,ORDRSA
1340,ORDRSA
1341,USAF
1342,ORDRSA
1343,USA
1344,USAF
1345,USA
1346,USA
1347,USA
1348,PARD
1349,PARD
1350,ORDRSA
1351,ORDRSA
1352,USAF
1353,ORDRSA
1354,USA
1355,USA
1356,USAF
1357,SUI
1358,USA
1359,USN
1360,WADD
1361,USA
1362,USAF
1363,USAF
1364,USA
1365,ARDC
1366,USAF
1367,USA
1368,ORDRSA
1369,ORDRSA
1370,USAF
1371,USA
1372,USA
1373,PARD
1374,USA
1375,USAF
1376,USA
1377,PARD
1378,USA
1379,USA
1380,PARD
1381,PARD
1382,USAF
1383,USA
1384,USAF
1385,USA
1386,USA
1387,USAF
1388,PARD
1389,ORDRSA
1390,ORDRSA
1391,ORDRSA
