STAGE_NAME,STAGE_FAMILY,STAGE_ALT_NAME,LENGTH,DIAMETER,LAUNCH_MASS,DRY_MASS,THRUST,DURATION,ENGINE_ID,ENGINE_COUNT
A1P Stage 2,Polaris.St2,Polaris A1P St2,2,1.37,4.3,951,,,112,1
A2E,Polaris,Polaris A2E St1,4.3,1.37,10.1,1450,,,113,1
A2E Stage 2,Polaris.St2,Polaris A2E St2,2.1,1.37,4.2,860,,,1191,1
A2P,Polaris,Polaris A2P St1,4.3,1.37,10.1,1450,,,113,1
A2P Stage 2,Polaris.St2,Polaris A2P St2,2.1,1.37,4.2,860,,,1191,1
A3P,Polaris,Polaris A3P St1,4.4,1.37,11.1,1270,,,114,1
AAD,AAD,,6,.42,1,,,,,1
AJ10,Able,Able,5,.81,1.9,429,33,122,117,1
AJ10-101A,Able,Able I,5.8,.81,1.9,385,34.7,110,119,1
AJ10-104,Ablestar,Ablestar,4.5,1.39,4.5,599,36,,120,1
AJ10-104D,Ablestar,Ablestar,4.5,1.39,4.5,599,36,,120,1
AJ10-118,Able,Delta,6,.81,2.2,694,33.7,115,121,1
AJ10-118A,Able,Delta,6,.81,2.7,600,33.7,170,122,1
AJ10-118D,Able,Delta,5.8,.81,2.7,545,33.7,170,123,1
AJ10-118FJ,Delta2,Delta AJ10-118FJ,6.3,1.75,6,780,44.1,430,126,1
AJ10-11B,Able,AJ10,5.7,.81,1.9,429,34.7,122,121,1
AJ10-40,Able,Able,5.8,.81,1.9,429,34.5,110,135,1
AJ10-41,Able,Able,5.8,.81,1.9,429,34.5,110,136,1
AJ10-42,Able,Able II,5.8,.81,1.9,429,34.5,110,137,1
AJ60-91,AJ60,Aerobee 350 St2,9.1,.56,3,1050,72,52.7,139,4
AJ60-92,Aerobee,Aerobee 200 St2,5.5,.38,.7,131,22.6,61.1,142,1
AMROC IRR,AMROC,IRR,17.7,1.29,12.2,,315,70,336,1
AS-0,ASLV,,10.7,1,11.6,2963,502,49,148,1
AS-1,ASLV,ASLV,10.2,1,11.8,2900,702,45,145,1
AS-2,ASLV.St2,St 2,6.4,.8,4.4,800,304,36,146,1
AS-3,ASLV.St3,St 3,2.4,.8,1.7,650,90.7,45,147,1
AS-4,ASLV.St4,St 4,1.4,.66,.5,195,35,33,144,1
ASAS,SM3.TSRM,SM-3 TSRM,.9,.33,.1,,7,15,602,1
