LV_ID,LV_NAME,LV_VARIANT,LV_CLASS,LV_FAMILY_CODE,LV_ALIAS,MIN_STAGE,MAX_STAGE,LENGTH,DIAMETER,LAUNCH_MASS,LEO_CAPACITY,GTO_CAPACITY,TAKEOFF_THRUST,APOGEE,RANGE
75,Al Samoud,,research rocket,V-750,,1,1,7.7,.5,1.5,0,0,,50,
76,Al Samoud 2,,research rocket,Samoud,,1,1,7.2,.76,2,0,0,,50,
77,Alfa,,missile,Alfa,,1,1,6.5,1.37,8,0,0,245,300,1000
78,AltAir,,research rocket,SR19,,1,1,6,1.32,8,0,0,267,100,
79,Angara A5,,orbital launch vehicle,Angara,,0,3,42.8,2.9,773,24500,5400,2095,200,
80,Angara-1.2PP,,orbital launch vehicle,Angara,,1,2,42.8,2.9,171,0,0,2095,200,
81,Antares,,research rocket,Stromboli,OPd-56-39-22D,1,4,12.2,.56,1.8,0,0,200,280,
82,Antares 110,,orbital launch vehicle,Zenit,,1,2,40.5,3.9,282,4600,1800,3631,300,
83,Antares 120,,orbital launch vehicle,Zenit,,1,2,40.5,3.9,282,4600,1800,3631,300,
84,Antares 130,,orbital launch vehicle,Zenit,,1,2,40.5,3.9,282,5100,1800,3631,300,
85,Antares 230,,orbital launch vehicle,Zenit,,1,2,42.5,3.9,290,6250,1800,3844,300,
86,Apache,,research rocket,Deacon,,1,1,4,.17,.1,0,0,,50,
87,Apollo LES,,endoatmoshpheric test/research,Apollo.LES,,1,1,10.2,.66,2.5,0,0,690,2,
88,Arcas,,exoatmospheric weather rocket,Arcas,,1,1,2.3,.11,0,0,0,1,90,
89,Arcon,,research rocket,Arcon,,0,1,4,.15,.1,0,0,14,100,
90,Ares I-X,,endoatmoshpheric test/research,SRB,,1,1,100,3.77,834,,0,0,45,
91,Ariane 1,,orbital launch vehicle,Ariane,,1,3,47.4,3.8,210,,1400,2462,40000,
92,Ariane 2,,orbital launch vehicle,Ariane,,1,3,49,3.8,217,,2175,2689,40000,
93,Ariane 3,,orbital launch vehicle,Ariane,,0,3,49,3.8,237,,2700,4021,40000,
94,Ariane 40,40,orbital launch vehicle,Ariane,,1,3,58.4,3.8,243,2700,1900,2708,1000,
95,Ariane 40,40+,orbital launch vehicle,Ariane,,1,3,58.4,3.8,245,2740,,2718,1000,
96,Ariane 40,40-3,orbital launch vehicle,Ariane,,1,3,58.4,3.8,245,2740,,2718,1000,
97,Ariane 42L,42L,orbital launch vehicle,Ariane,,0,3,58.4,3.8,363,,2800,4208,40000,
98,Ariane 42L,42L+,orbital launch vehicle,Ariane,,0,3,58.4,3.8,363,,3350,4228,40000,
99,Ariane 42L,42L-3,orbital launch vehicle,Ariane,,0,3,58.4,3.8,363,,3480,4228,40000,
100,Ariane 42P,42P,orbital launch vehicle,Ariane,,0,3,58.4,3.8,320,,2600,4008,40000,
101,Ariane 42P,42P+,orbital launch vehicle,Ariane,,0,3,58.4,3.8,324,,2740,4028,40000,
102,Ariane 42P,42P-3,orbital launch vehicle,Ariane,,0,3,58.4,3.8,324,,2930,4028,40000,
103,Ariane 44L,44L,orbital launch vehicle,Ariane,,0,3,58.4,3.8,470,,4200,5708,40000,
104,Ariane 44L,44L+,orbital launch vehicle,Ariane,,0,3,58.4,3.8,484,,4460,5728,40000,
105,Ariane 44L,44L-3,orbital launch vehicle,Ariane,,0,3,58.4,3.8,484,,4820,5728,40000,
106,Ariane 44LP,44LP,orbital launch vehicle,Ariane,,-1,3,58.4,3.8,418.5,,3700,5528,40000,
107,Ariane 44LP,44LP+,orbital launch vehicle,Ariane,,-1,3,58.4,3.8,421,,4030,5508,40000,
108,Ariane 44LP,44LP-3,orbital launch vehicle,Ariane,,-1,3,58.4,3.8,421,,4220,5528,40000,
109,Ariane 44P,44P,orbital launch vehicle,Ariane,,0,3,58.4,3.8,355,,3000,5308,40000,
110,Ariane 44P,44P-3,orbital launch vehicle,Ariane,,0,3,58.4,3.8,356,,3465,5328,40000,
111,Ariane 5ECA,,orbital launch vehicle,Ariane5,,0,2,57.7,5.4,780,10000,10000,11400,40000,
112,Ariane 5ES,,orbital launch vehicle,Ariane5,,0,2,45.7,5.4,746,20000,6200,11400,40000,
113,Ariane 5ES/ATV,,orbital launch vehicle,Ariane5,,0,2,45.7,5.4,746,20000,6200,11400,40000,
114,Ariane 5G,,orbital launch vehicle,Ariane5,,0,2,45.7,5.4,746,10000,6200,11400,40000,
115,Ariane 5G+,,orbital launch vehicle,Ariane5,,0,2,45.7,5.4,746,10000,6200,11400,40000,
116,Ariane 5GS,,orbital launch vehicle,Ariane5,,0,2,45.7,5.4,746,10000,6200,11400,40000,
117,Aries,,research rocket,Aries,,1,1,9.2,1.16,6.3,0,0,200,500,
118,Arrow 1,,endoatmospheric rocket,Jericho,,1,1,7.5,1.35,,0,0,,40,
119,Arrow 2,,endoatmospheric rocket,Arrow2,,1,2,6.3,.8,2.5,0,0,,40,50
120,Arrow 3,,endoatmospheric rocket,Arrow3,,1,2,11,.7,1.5,0,0,,100,50
121,Ashura,,tactical ballistic missile,Sejjil,Sejjil,1,2,10,1.25,20,0,0,560,150,2000
122,Asp,,endoatmospheric weather rocket <80 km,Asp,,1,1,2.7,.17,0,0,0,42,70,
123,Asp II,,endoatmospheric weather rocket <80 km,Asp,,1,1,2.7,.17,0,0,0,42,50,
124,Asp III,4L,endoatmospheric weather rocket <80 km,Asp,,0,1,2.7,.17,0,0,0,42,50,
125,Asp III,,endoatmospheric weather rocket <80 km,Asp,,0,1,2.7,.17,0,0,0,42,50,
126,Asp IV,,exoatmospheric weather rocket,Asp,,1,1,2.7,.17,0,0,0,12,109,
127,Astra,,research rocket,Astra,,1,2,10,1,6,0,0,,100,
128,Astrid,,endoatmoshpheric test/research,Astrid,,1,1,1.9,.17,0,0,0,,10,
129,Astrobee 1500,,research rocket,Sergeant,,0,2,10.4,.79,5.2,0,0,566,2000,
130,Astrobee 200,,research rocket,Nike,,1,2,6.3,.42,.8,0,0,161,350,
131,Astrobee 500,,research rocket,Genie,,1,3,7.8,.38,.9,0,0,161,1000,
132,Astrobee D,,research rocket,AstrobeeD,,1,1,3.9,.15,.1,0,0,23,140,
133,Astrobee F,,research rocket,AstrobeeF,,1,1,11.5,.38,1.5,0,0,178,375,
134,Atea-1,,research rocket,Atea,,1,1,5,.15,.06,0,0,,100,
135,Athena,,missile,Sergeant,,0,4,15.2,.79,7.2,0,0,586,200,
136,Athena H,,rocket test vehicle,Castor4,,0,3,18.6,1.02,14,0,0,422,200,
137,Athena-1,,orbital launch vehicle,MX,,1,3,18.9,2.3,66.3,820,0,1450,1000,
138,Athena-2,,orbital launch vehicle,MX,,1,4,28.2,2.3,120.7,2065,0,1450,400000,
139,Atlas 3A,,orbital launch vehicle,Atlas,,1,2,52.8,3.05,225,8620,4060,3827,40000,
140,Atlas 3B,DEC,orbital launch vehicle,Atlas,,1,2,53.6,3.05,225,8620,4060,3827,40000,
141,Atlas 3B,SEC,orbital launch vehicle,Atlas,,1,2,53.6,3.05,225,8620,4060,3827,40000,
142,Atlas A,,big test rocket,Atlas,,0,1,22.9,3.05,82,0,0,1210,120,900
